cse_id,alert_id,asset_id,severity,alert_type,created_time,acknowledged_time,investigation_start,investigation_end,closure_time,escalated,disposition,investigation_evidence,investigation_notes,asset_criticality,expected_activity,observed_activity
CSE-D,ALT-02422,ASSET-025,LOW,Network Anomaly,2026-05-14 17:05:30,2026-05-14 17:22:54,2026-05-14 17:23:54,2026-05-14 18:47:08,2026-05-15 02:25:42,True,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,164,171
CSE-E,ALT-02423,ASSET-033,MEDIUM,Suspicious Login,2026-04-18 22:00:49,2026-04-18 23:01:10,2026-04-18 23:09:10,2026-04-19 02:04:34,2026-04-19 05:36:34,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,136,60
CSE-E,ALT-02424,ASSET-034,MEDIUM,Data Exfiltration,2026-06-04 15:06:21,2026-06-04 15:41:46,2026-06-04 16:02:46,2026-06-04 16:50:57,2026-06-04 20:35:14,True,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,171,99
CSE-E,ALT-02425,ASSET-043,MEDIUM,Malware,2026-01-18 22:21:29,2026-01-18 23:16:18,2026-01-18 23:36:18,2026-01-19 00:24:11,2026-01-19 00:44:35,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,107,88
CSE-D,ALT-02426,ASSET-041,CRITICAL,Privilege Escalation,2026-06-26 13:37:41,2026-06-26 14:00:30,2026-06-26 14:01:30,2026-06-26 15:24:22,2026-06-27 02:18:59,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,102,100
CSE-B,ALT-02427,ASSET-033,MEDIUM,Phishing,2026-05-18 10:17:44,2026-05-18 11:17:16,2026-05-18 11:40:16,2026-05-18 14:25:55,2026-05-18 12:34:50,False,False Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,114,83
CSE-D,ALT-02428,ASSET-052,LOW,Brute Force,2026-01-29 16:47:12,2026-01-29 17:05:02,,,2026-01-29 23:54:58,False,Under Investigation,False,,CRITICAL,174,163
CSE-D,ALT-02429,ASSET-016,LOW,Data Exfiltration,2026-05-16 12:22:04,2026-05-16 12:33:05,2026-05-16 12:40:05,2026-05-16 13:33:41,2026-05-16 20:20:32,False,Under Investigation,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,119,126
CSE-D,ALT-02430,ASSET-052,MEDIUM,Unauthorized Access,2026-05-03 13:25:11,2026-05-03 13:50:15,2026-05-03 13:56:15,2026-05-03 16:50:44,2026-05-04 01:34:55,True,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,193,208
CSE-D,ALT-02431,ASSET-041,CRITICAL,Network Anomaly,2026-01-27 16:33:05,2026-01-27 16:55:22,2026-01-27 17:14:22,2026-01-27 20:32:51,2026-01-28 01:42:56,True,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,87,90
CSE-E,ALT-02432,ASSET-024,HIGH,Brute Force,2026-02-27 08:09:16,2026-02-27 08:57:33,2026-02-27 09:07:33,2026-02-27 11:15:26,2026-02-27 10:29:55,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,86,61
CSE-C,ALT-02433,ASSET-032,CRITICAL,Brute Force,2026-06-04 15:23:52,2026-06-04 15:26:19,,,2026-06-04 15:26:44,False,False Positive,False,N/A,CRITICAL,127,21
CSE-A,ALT-02434,ASSET-038,LOW,Privilege Escalation,2026-03-04 11:59:52,2026-03-04 12:24:57,2026-03-04 12:30:57,2026-03-04 15:38:16,2026-03-04 20:51:17,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,165,162
CSE-D,ALT-02435,ASSET-028,MEDIUM,Data Exfiltration,2026-01-25 17:11:00,2026-01-25 17:24:27,2026-01-25 17:48:27,2026-01-25 19:07:50,2026-01-25 21:44:38,True,Under Investigation,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,127,112
CSE-D,ALT-02436,ASSET-052,LOW,Data Exfiltration,2026-04-22 13:00:26,2026-04-22 13:23:20,2026-04-22 13:45:20,2026-04-22 16:40:06,2026-04-23 00:16:52,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,104,107
CSE-D,ALT-02437,ASSET-010,LOW,Suspicious Login,2026-06-12 09:23:17,2026-06-12 09:30:12,,,2026-06-12 13:00:51,False,True Positive,False,Closed quickly — no notes.,CRITICAL,186,157
CSE-C,ALT-02438,ASSET-003,LOW,Privilege Escalation,2026-01-13 17:14:34,2026-01-13 18:12:44,2026-01-13 18:31:44,2026-01-13 18:56:57,2026-01-13 22:37:52,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,109,50
CSE-E,ALT-02439,ASSET-097,HIGH,Malware,2026-01-27 09:02:49,2026-01-27 10:33:38,2026-01-27 10:45:38,2026-01-27 13:30:00,2026-01-27 19:20:05,True,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,169,108
CSE-A,ALT-02440,ASSET-031,HIGH,Malware,2026-01-02 11:09:43,2026-01-02 11:34:00,2026-01-02 11:51:00,2026-01-02 12:14:05,2026-01-02 14:20:52,False,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,197,171
CSE-B,ALT-02441,ASSET-077,HIGH,Brute Force,2026-01-31 11:44:17,2026-01-31 13:02:38,2026-01-31 13:26:38,2026-01-31 16:19:19,2026-01-31 15:46:14,True,Benign True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,97,80
CSE-A,ALT-02442,ASSET-051,MEDIUM,Brute Force,2026-03-02 10:07:31,2026-03-02 10:29:57,2026-03-02 10:52:57,2026-03-02 12:12:58,2026-03-02 21:02:16,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,152,162
CSE-D,ALT-02443,ASSET-039,LOW,Malware,2026-01-28 11:36:57,2026-01-28 12:00:10,,,2026-01-28 13:18:49,False,True Positive,False,Closed quickly — no notes.,HIGH,188,210
CSE-C,ALT-02444,ASSET-004,LOW,Network Anomaly,2026-02-23 09:03:54,2026-02-23 09:42:20,2026-02-23 09:46:20,2026-02-23 09:59:32,2026-02-23 11:46:11,False,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,112,51
CSE-D,ALT-02445,ASSET-071,LOW,Phishing,2026-06-23 19:08:34,2026-06-23 19:34:28,2026-06-23 19:57:28,2026-06-24 00:48:29,2026-06-24 06:44:59,True,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,122,103
CSE-D,ALT-02446,ASSET-013,MEDIUM,Data Exfiltration,2026-02-11 09:32:53,2026-02-11 09:45:50,2026-02-11 10:00:50,2026-02-11 12:43:56,2026-02-11 21:41:26,True,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,110,107
CSE-A,ALT-02447,ASSET-065,MEDIUM,Unauthorized Access,2026-05-08 09:27:39,2026-05-08 09:57:22,,,2026-05-08 11:56:54,False,True Positive,False,,MEDIUM,128,114
CSE-C,ALT-02448,ASSET-070,MEDIUM,Data Exfiltration,2026-06-05 09:14:02,2026-06-05 10:05:34,,,2026-06-05 15:25:43,False,Escalated to Tier-2,False,N/A,MEDIUM,131,39
CSE-E,ALT-02449,ASSET-053,MEDIUM,Malware,2026-02-19 12:39:28,2026-02-19 13:44:41,,,2026-02-19 15:02:04,False,Under Investigation,False,,HIGH,148,95
CSE-A,ALT-02450,ASSET-013,MEDIUM,Network Anomaly,2026-05-22 12:13:16,2026-05-22 12:16:02,2026-05-22 12:39:02,2026-05-22 13:55:01,2026-05-22 13:15:22,True,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,188,183
CSE-D,ALT-02451,ASSET-093,LOW,Malware,2026-01-10 17:34:52,2026-01-10 17:48:11,2026-01-10 17:52:11,2026-01-10 19:16:54,2026-01-11 06:09:27,False,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,166,146
CSE-C,ALT-02452,ASSET-008,LOW,Unauthorized Access,2026-02-07 15:09:27,2026-02-07 15:15:44,2026-02-07 15:20:44,2026-02-07 15:44:29,2026-02-07 20:13:12,False,Escalated to Tier-2,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,174,27
CSE-B,ALT-02453,ASSET-077,MEDIUM,Brute Force,2026-05-08 03:44:07,2026-05-08 04:02:03,,,2026-05-08 08:31:13,False,Benign True Positive,False,N/A,HIGH,157,141
CSE-D,ALT-02454,ASSET-090,LOW,Suspicious Login,2026-02-01 16:02:45,2026-02-01 16:23:04,2026-02-01 16:46:04,2026-02-01 17:31:04,2026-02-01 18:28:14,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,133,124
CSE-C,ALT-02455,ASSET-040,LOW,Unauthorized Access,2026-06-16 13:11:11,2026-06-16 13:26:46,,,2026-06-16 17:05:18,False,False Positive,False,,CRITICAL,111,22
CSE-A,ALT-02456,ASSET-094,LOW,Phishing,2026-06-19 09:57:20,2026-06-19 10:05:52,2026-06-19 10:29:52,2026-06-19 10:51:13,2026-06-19 17:06:52,False,Escalated to Tier-2,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,100,89
CSE-D,ALT-02457,ASSET-048,MEDIUM,Unauthorized Access,2026-02-09 16:36:31,2026-02-09 16:43:36,2026-02-09 17:00:36,2026-02-09 21:26:47,2026-02-09 22:37:35,True,True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,197,214
CSE-D,ALT-02458,ASSET-013,LOW,Brute Force,2026-04-06 10:33:35,2026-04-06 10:45:12,2026-04-06 10:57:12,2026-04-06 12:37:51,2026-04-06 16:07:27,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,96,88
CSE-C,ALT-02459,ASSET-050,MEDIUM,Network Anomaly,2026-06-14 10:01:42,2026-06-14 10:12:43,,,2026-06-14 11:11:24,False,Escalated to Tier-2,False,N/A,HIGH,103,38
CSE-C,ALT-02460,ASSET-036,CRITICAL,Phishing,2026-06-10 17:22:33,2026-06-10 18:11:40,,,2026-06-10 17:26:21,False,Under Investigation,False,,CRITICAL,91,11
CSE-A,ALT-02461,ASSET-018,HIGH,Phishing,2026-03-20 13:48:15,2026-03-20 14:04:56,2026-03-20 14:26:56,2026-03-20 14:56:50,2026-03-20 20:33:38,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,140,111
CSE-B,ALT-02462,ASSET-083,MEDIUM,Phishing,2026-05-25 17:04:39,2026-05-25 18:24:26,,,2026-05-25 22:02:48,False,False Positive,False,Closed quickly — no notes.,MEDIUM,89,51
CSE-A,ALT-02463,ASSET-015,LOW,Unauthorized Access,2026-03-16 15:29:28,2026-03-16 15:37:12,2026-03-16 15:50:12,2026-03-16 17:42:25,2026-03-16 23:22:44,True,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,158,168
CSE-C,ALT-02464,ASSET-090,CRITICAL,Privilege Escalation,2026-06-12 09:46:06,2026-06-12 09:51:15,,,2026-06-12 10:16:01,False,True Positive,False,Closed quickly — no notes.,HIGH,118,21
CSE-B,ALT-02465,ASSET-053,LOW,Brute Force,2026-03-19 10:54:26,2026-03-19 11:08:53,,,2026-03-19 19:41:12,False,Escalated to Tier-2,False,N/A,HIGH,80,55
CSE-E,ALT-02466,ASSET-016,LOW,Privilege Escalation,2026-01-18 04:01:23,2026-01-18 05:09:57,,,2026-01-18 09:40:34,True,True Positive,False,,HIGH,164,138
CSE-D,ALT-02467,ASSET-036,CRITICAL,Unauthorized Access,2026-03-19 15:52:55,2026-03-19 16:00:41,2026-03-19 16:11:41,2026-03-19 20:47:15,2026-03-20 05:39:18,False,False Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,124,134
CSE-A,ALT-02468,ASSET-036,MEDIUM,Network Anomaly,2026-06-10 17:29:33,2026-06-10 17:40:13,2026-06-10 17:42:13,2026-06-10 18:27:22,2026-06-10 22:52:02,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,109,96
CSE-D,ALT-02469,ASSET-057,MEDIUM,Malware,2026-03-15 15:46:50,2026-03-15 16:12:19,2026-03-15 16:30:19,2026-03-15 21:13:23,2026-03-15 18:21:52,True,False Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,117,124
CSE-C,ALT-02470,ASSET-067,HIGH,Network Anomaly,2026-05-13 15:23:44,2026-05-13 15:33:13,,,2026-05-13 17:57:54,False,True Positive,False,N/A,MEDIUM,156,23
CSE-D,ALT-02471,ASSET-059,HIGH,Phishing,2026-01-31 11:26:17,2026-01-31 11:49:06,2026-01-31 12:01:06,2026-01-31 15:11:48,2026-01-31 23:00:35,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,172,139
CSE-A,ALT-02472,ASSET-014,LOW,Privilege Escalation,2026-03-28 00:54:01,2026-03-28 00:58:32,2026-03-28 01:23:32,2026-03-28 03:52:38,2026-03-28 09:45:43,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,153,148
CSE-D,ALT-02473,ASSET-020,MEDIUM,Suspicious Login,2026-03-08 15:14:21,2026-03-08 15:37:19,2026-03-08 15:48:19,2026-03-08 16:56:50,2026-03-08 21:32:59,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,131,112
CSE-C,ALT-02474,ASSET-093,CRITICAL,Phishing,2026-02-09 11:18:50,2026-02-09 11:28:51,,,2026-02-09 11:22:52,False,Under Investigation,False,Closed quickly — no notes.,CRITICAL,96,38
CSE-B,ALT-02475,ASSET-045,MEDIUM,Privilege Escalation,2026-01-09 13:04:10,2026-01-09 13:24:57,2026-01-09 13:37:57,2026-01-09 16:22:09,2026-01-09 14:55:20,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,169,150
CSE-C,ALT-02476,ASSET-005,LOW,Phishing,2026-03-11 11:09:13,2026-03-11 11:35:29,,,2026-03-11 12:31:35,False,True Positive,False,Closed quickly — no notes.,MEDIUM,176,34
CSE-E,ALT-02477,ASSET-023,HIGH,Unauthorized Access,2026-01-09 16:01:09,2026-01-09 16:37:20,2026-01-09 16:49:20,2026-01-09 17:25:04,2026-01-09 22:24:27,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,174,83
CSE-D,ALT-02478,ASSET-022,MEDIUM,Brute Force,2026-03-11 12:36:17,2026-03-11 12:43:28,2026-03-11 12:45:28,2026-03-11 15:26:41,2026-03-12 03:12:11,True,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,151,144
CSE-E,ALT-02479,ASSET-028,LOW,Data Exfiltration,2026-04-13 14:00:10,2026-04-13 15:14:56,2026-04-13 15:17:56,2026-04-13 17:27:45,2026-04-13 23:42:38,False,False Positive,True,Alert correlated with threat intel; full timeline documented.,MEDIUM,84,37
CSE-B,ALT-02480,ASSET-004,CRITICAL,Privilege Escalation,2026-02-14 11:34:13,2026-02-14 12:46:27,2026-02-14 12:52:27,2026-02-14 13:34:40,2026-02-14 14:01:44,True,False Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,117,79
CSE-E,ALT-02481,ASSET-076,HIGH,Phishing,2026-04-15 10:52:59,2026-04-15 12:29:09,2026-04-15 12:42:09,2026-04-15 14:20:29,2026-04-15 15:06:38,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,84,41
CSE-D,ALT-02482,ASSET-011,CRITICAL,Unauthorized Access,2026-06-06 01:11:19,2026-06-06 01:29:01,2026-06-06 01:31:01,2026-06-06 03:02:40,2026-06-06 13:33:42,False,True Positive,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,181,158
CSE-D,ALT-02483,ASSET-036,LOW,Suspicious Login,2026-06-08 16:49:59,2026-06-08 16:53:20,2026-06-08 17:04:20,2026-06-08 20:51:09,2026-06-08 21:56:48,False,Escalated to Tier-2,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,114,118
CSE-A,ALT-02484,ASSET-010,HIGH,Privilege Escalation,2026-01-23 09:32:58,2026-01-23 09:47:18,2026-01-23 10:11:18,2026-01-23 12:26:29,2026-01-23 17:25:49,False,Under Investigation,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,145,122
CSE-C,ALT-02485,ASSET-045,MEDIUM,Suspicious Login,2026-06-24 10:19:25,2026-06-24 10:58:43,,,2026-06-24 12:25:39,False,True Positive,False,,CRITICAL,122,18
CSE-C,ALT-02486,ASSET-031,MEDIUM,Network Anomaly,2026-04-10 15:54:23,2026-04-10 16:38:54,2026-04-10 17:00:54,2026-04-10 17:11:49,2026-04-11 00:09:27,False,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,91,32
CSE-B,ALT-02487,ASSET-049,HIGH,Phishing,2026-01-13 12:19:30,2026-01-13 13:29:43,2026-01-13 13:50:43,2026-01-13 14:24:05,2026-01-13 17:06:37,False,False Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,76,53
CSE-D,ALT-02488,ASSET-061,MEDIUM,Unauthorized Access,2026-03-27 09:25:03,2026-03-27 09:32:54,2026-03-27 09:44:54,2026-03-27 10:06:33,2026-03-27 22:21:20,False,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,159,126
CSE-B,ALT-02489,ASSET-053,LOW,Network Anomaly,2026-01-23 10:54:13,2026-01-23 11:59:31,2026-01-23 12:05:31,2026-01-23 14:18:23,2026-01-23 16:23:08,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,198,162
CSE-C,ALT-02490,ASSET-019,CRITICAL,Network Anomaly,2026-04-17 11:08:39,2026-04-17 11:25:25,,,2026-04-17 18:00:01,False,Under Investigation,False,,CRITICAL,150,29
CSE-A,ALT-02491,ASSET-003,LOW,Privilege Escalation,2026-06-06 16:06:58,2026-06-06 16:11:40,2026-06-06 16:30:40,2026-06-06 21:05:32,2026-06-07 03:11:14,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,HIGH,109,93
CSE-D,ALT-02492,ASSET-062,HIGH,Phishing,2026-03-19 11:10:11,2026-03-19 11:27:34,2026-03-19 11:32:34,2026-03-19 15:07:05,2026-03-20 02:03:42,False,Benign True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,194,160
CSE-C,ALT-02493,ASSET-055,CRITICAL,Privilege Escalation,2026-01-13 13:23:39,2026-01-13 14:20:16,2026-01-13 14:26:16,2026-01-13 14:47:15,2026-01-13 13:24:44,False,Under Investigation,True,Alert correlated with threat intel; full timeline documented.,CRITICAL,189,104
CSE-C,ALT-02494,ASSET-074,LOW,Data Exfiltration,2026-02-21 16:16:52,2026-02-21 17:03:52,,,2026-02-22 00:27:21,False,True Positive,False,Closed quickly — no notes.,HIGH,185,45
CSE-A,ALT-02495,ASSET-047,LOW,Brute Force,2026-05-12 11:17:42,2026-05-12 11:20:11,2026-05-12 11:44:11,2026-05-12 12:59:48,2026-05-12 21:15:27,False,True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,179,157
CSE-D,ALT-02496,ASSET-049,MEDIUM,Privilege Escalation,2026-01-17 15:38:56,2026-01-17 16:04:51,2026-01-17 16:16:51,2026-01-17 19:33:30,2026-01-18 05:55:28,True,Escalated to Tier-2,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,132,128
CSE-A,ALT-02497,ASSET-026,LOW,Suspicious Login,2026-02-20 14:13:36,2026-02-20 14:38:12,2026-02-20 14:50:12,2026-02-20 15:59:06,2026-02-20 19:23:40,False,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,112,121
CSE-E,ALT-02498,ASSET-088,CRITICAL,Unauthorized Access,2026-02-09 11:02:31,2026-02-09 12:07:01,,,2026-02-09 15:03:12,True,Under Investigation,False,N/A,HIGH,97,79
CSE-D,ALT-02499,ASSET-070,HIGH,Brute Force,2026-06-21 09:28:58,2026-06-21 09:38:14,2026-06-21 09:42:14,2026-06-21 13:49:34,2026-06-21 11:10:56,True,Escalated to Tier-2,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,151,136
CSE-B,ALT-02500,ASSET-038,HIGH,Network Anomaly,2026-01-26 14:21:13,2026-01-26 15:07:18,,,2026-01-26 22:54:04,False,Benign True Positive,False,Closed quickly — no notes.,MEDIUM,86,67
CSE-E,ALT-02501,ASSET-022,MEDIUM,Brute Force,2026-04-08 12:20:48,2026-04-08 13:10:04,2026-04-08 13:13:04,2026-04-08 14:49:59,2026-04-08 17:11:19,False,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,97,63
CSE-E,ALT-02502,ASSET-066,MEDIUM,Suspicious Login,2026-06-26 09:33:25,2026-06-26 10:47:33,2026-06-26 11:08:33,2026-06-26 13:45:30,2026-06-26 17:02:22,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,158,105
CSE-E,ALT-02503,ASSET-054,HIGH,Brute Force,2026-05-25 17:46:05,2026-05-25 18:45:52,2026-05-25 18:55:52,2026-05-25 21:33:30,2026-05-25 21:00:50,False,True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,121,67
CSE-D,ALT-02504,ASSET-097,HIGH,Data Exfiltration,2026-04-17 13:57:54,2026-04-17 14:11:59,2026-04-17 14:25:59,2026-04-17 14:46:19,2026-04-17 19:18:13,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,MEDIUM,168,176
CSE-D,ALT-02505,ASSET-039,CRITICAL,Network Anomaly,2026-06-29 09:04:26,2026-06-29 09:26:14,2026-06-29 09:38:14,2026-06-29 11:56:05,2026-06-29 18:11:04,False,Under Investigation,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,129,128
CSE-B,ALT-02506,ASSET-081,LOW,Unauthorized Access,2026-04-25 01:47:17,2026-04-25 02:03:52,2026-04-25 02:23:52,2026-04-25 03:18:56,2026-04-25 04:22:33,False,False Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,HIGH,168,140
CSE-C,ALT-02507,ASSET-014,CRITICAL,Brute Force,2026-06-05 21:47:23,2026-06-05 22:10:38,,,2026-06-06 01:18:29,True,Benign True Positive,False,Closed quickly — no notes.,CRITICAL,119,39
CSE-A,ALT-02508,ASSET-097,HIGH,Network Anomaly,2026-02-02 16:16:21,2026-02-02 16:27:43,2026-02-02 16:46:43,2026-02-02 17:31:20,2026-02-02 18:43:59,True,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,125,111
CSE-A,ALT-02509,ASSET-040,HIGH,Privilege Escalation,2026-06-15 17:39:48,2026-06-15 17:57:59,2026-06-15 18:04:59,2026-06-15 19:36:38,2026-06-16 02:00:30,False,Under Investigation,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,125,122
CSE-C,ALT-02510,ASSET-035,MEDIUM,Brute Force,2026-06-05 16:57:26,2026-06-05 17:13:58,2026-06-05 17:26:58,2026-06-05 17:51:49,2026-06-05 18:49:07,False,Under Investigation,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,178,51
CSE-D,ALT-02511,ASSET-007,HIGH,Network Anomaly,2026-01-25 10:58:51,2026-01-25 11:14:14,2026-01-25 11:35:14,2026-01-25 14:45:52,2026-01-25 18:09:26,False,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,152,143
CSE-E,ALT-02512,ASSET-016,LOW,Suspicious Login,2026-06-05 16:02:15,2026-06-05 17:48:06,2026-06-05 18:07:06,2026-06-05 20:10:51,2026-06-06 03:06:27,False,Benign True Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",HIGH,122,93
CSE-C,ALT-02513,ASSET-040,LOW,Brute Force,2026-03-21 04:03:16,2026-03-21 04:15:14,2026-03-21 04:24:14,2026-03-21 04:36:00,2026-03-21 09:31:39,False,Benign True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,160,84
CSE-D,ALT-02514,ASSET-049,HIGH,Phishing,2026-01-06 12:37:10,2026-01-06 13:02:52,2026-01-06 13:23:52,2026-01-06 17:37:51,2026-01-06 17:28:15,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,182,184
CSE-D,ALT-02515,ASSET-037,LOW,Network Anomaly,2026-05-27 16:40:20,2026-05-27 16:45:02,2026-05-27 17:04:02,2026-05-27 17:33:27,2026-05-28 06:49:54,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,101,103
CSE-C,ALT-02516,ASSET-007,LOW,Unauthorized Access,2026-01-27 09:42:17,2026-01-27 09:51:02,,,2026-01-27 10:36:34,False,True Positive,False,Closed quickly — no notes.,HIGH,195,45
CSE-E,ALT-02517,ASSET-089,CRITICAL,Suspicious Login,2026-05-30 09:45:04,2026-05-30 11:30:51,,,2026-05-30 09:46:49,True,False Positive,False,Closed quickly — no notes.,CRITICAL,196,114
CSE-C,ALT-02518,ASSET-040,HIGH,Phishing,2026-03-14 15:31:14,2026-03-14 15:44:27,,,2026-03-14 22:42:24,False,Under Investigation,False,,MEDIUM,200,53
CSE-E,ALT-02519,ASSET-095,LOW,Data Exfiltration,2026-03-16 09:54:35,2026-03-16 10:16:53,2026-03-16 10:18:53,2026-03-16 10:54:20,2026-03-16 17:37:35,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,80,47
CSE-E,ALT-02520,ASSET-059,HIGH,Phishing,2026-01-31 23:18:30,2026-02-01 00:58:26,2026-02-01 01:05:26,2026-02-01 02:02:44,2026-02-01 02:07:14,False,Escalated to Tier-2,True,"Reviewed source IP, asset logs and correlated with previous alerts.",CRITICAL,108,80
CSE-E,ALT-02521,ASSET-004,CRITICAL,Unauthorized Access,2026-06-21 16:24:42,2026-06-21 16:54:18,2026-06-21 17:02:18,2026-06-21 17:24:51,2026-06-22 02:12:25,False,Benign True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,85,41
CSE-E,ALT-02522,ASSET-046,MEDIUM,Unauthorized Access,2026-05-28 09:06:49,2026-05-28 10:37:57,,,2026-05-28 17:07:25,False,False Positive,False,N/A,HIGH,139,95
CSE-E,ALT-02523,ASSET-030,MEDIUM,Data Exfiltration,2026-03-31 16:42:44,2026-03-31 17:11:17,2026-03-31 17:30:17,2026-03-31 20:00:01,2026-03-31 20:22:36,False,Benign True Positive,True,Alert correlated with threat intel; full timeline documented.,HIGH,137,111
CSE-A,ALT-02524,ASSET-067,HIGH,Network Anomaly,2026-06-12 10:17:16,2026-06-12 10:29:16,2026-06-12 10:49:16,2026-06-12 11:16:57,2026-06-12 21:51:59,False,False Positive,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,158,131
CSE-B,ALT-02525,ASSET-028,MEDIUM,Brute Force,2026-01-07 17:12:14,2026-01-07 17:45:27,,,2026-01-08 01:50:51,False,False Positive,False,,MEDIUM,145,106
CSE-B,ALT-02526,ASSET-082,MEDIUM,Unauthorized Access,2026-04-11 11:55:15,2026-04-11 13:11:38,2026-04-11 13:35:38,2026-04-11 15:05:25,2026-04-11 14:08:42,True,Escalated to Tier-2,True,"Reviewed source IP, asset logs and correlated with previous alerts.",MEDIUM,163,132
CSE-C,ALT-02527,ASSET-018,HIGH,Phishing,2026-05-06 09:04:28,2026-05-06 09:22:31,2026-05-06 09:46:31,2026-05-06 10:15:15,2026-05-06 17:01:00,True,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,182,73
